RatingBand,Speed,DrawRate,Games
<1200,Blitz,0.03329763179816732,42015
<1200,Bullet,0.018072862170645868,10513
<1200,Classical,0.04805055442947419,16774
1200-1600,Blitz,0.032997088566292125,793767
1200-1600,Bullet,0.020566722767351518,377892
1200-1600,Classical,0.03591747194372428,551570
1200-1600,Correspondence,0.06471638744791224,11759
1600-2000,Blitz,0.040814609922194725,1545525
1600-2000,Bullet,0.029912178437896477,1010458
1600-2000,Classical,0.0407935409362156,963731
1600-2000,Correspondence,0.035888393320195,9641
2000+,Blitz,0.05810043729988572,423508
2000+,Bullet,0.044791215987090585,342076
2000+,Classical,0.06307138896392873,140666
2000+,Correspondence,0.11776315789473685,1520
