Elo,Games
775.0,2
800.0,6
825.0,10
850.0,43
875.0,80
900.0,168
925.0,309
950.0,636
975.0,1035
1000.0,1639
1025.0,2551
1050.0,4206
1075.0,5875
1100.0,8196
1125.0,11262
1150.0,14331
1175.0,18608
1200.0,23617
1225.0,30115
1250.0,37384
1275.0,45261
1300.0,54969
1325.0,67185
1350.0,80150
1375.0,93931
1400.0,109428
1425.0,124899
1450.0,141085
1475.0,156830
1500.0,174120
1525.0,187674
1550.0,198325
1575.0,206085
1600.0,219582
1625.0,232069
1650.0,242194
1675.0,244260
1700.0,249541
1725.0,254486
1750.0,255103
1775.0,244727
1800.0,237203
1825.0,233371
1850.0,223139
1875.0,206255
1900.0,193701
1925.0,182481
1950.0,166628
1975.0,146104
2000.0,131093
2025.0,116875
2050.0,104486
2075.0,89983
2100.0,78307
2125.0,67165
2150.0,57387
2175.0,48323
2200.0,40588
2225.0,33920
2250.0,27510
2275.0,21696
2300.0,18086
2325.0,15738
2350.0,13036
2375.0,10812
2400.0,8687
2425.0,6922
2450.0,5523
2475.0,4304
2500.0,3281
2525.0,2173
2550.0,1487
2575.0,1059
2600.0,706
2625.0,423
2650.0,274
2675.0,191
2700.0,159
2725.0,136
2750.0,75
2775.0,78
2800.0,28
2825.0,44
2850.0,11
