RatingBand,OpeningFamily,Games,Share
<1200,Caro-Kann Defense,887,0.02457948845844764
<1200,English Opening,1161,0.032172250394879046
<1200,French Defense,3300,0.09144567295702054
<1200,Hungarian Opening,761,0.021087926400088674
<1200,Indian Game,511,0.014160223903344695
<1200,Italian Game,1591,0.04408789868927869
<1200,King's Pawn Game,10464,0.289965915703716
<1200,Modern Defense,899,0.02491201817829135
<1200,Queen's Gambit Declined,329,0.009116856485715077
<1200,Queen's Pawn Game,4058,0.11245046692714827
<1200,Ruy Lopez,994,0.027544545127054065
<1200,Scandinavian Defense,3935,0.10904203729875024
<1200,Sicilian Defense,2911,0.0806661678720869
<1200,Van't Kruijs Opening,3115,0.08631917310942999
<1200,Zukertort Opening,1171,0.0324493584947488
1200-1600,Caro-Kann Defense,36357,0.03903524735636775
1200-1600,English Opening,43344,0.046536946431619874
1200-1600,French Defense,98699,0.10596968613543857
1200-1600,Hungarian Opening,24377,0.026172737706801348
1200-1600,Indian Game,19263,0.020682013637695958
1200-1600,Italian Game,63179,0.06783309659014654
1200-1600,King's Pawn Game,129760,0.13931880234789115
1200-1600,Modern Defense,31782,0.03412322885496823
1200-1600,Queen's Gambit Declined,23404,0.025128061422241405
1200-1600,Queen's Pawn Game,93458,0.10034260658006483
1200-1600,Ruy Lopez,45005,0.048320304405570606
1200-1600,Scandinavian Defense,95331,0.10235358158621156
1200-1600,Sicilian Defense,147288,0.15813800678341702
1200-1600,Van't Kruijs Opening,50654,0.05438543938139703
1200-1600,Zukertort Opening,29488,0.03166024078016812
1600-2000,Caro-Kann Defense,122379,0.06295410352171363
1600-2000,English Opening,115816,0.059577970513493214
1600-2000,French Defense,239828,0.12337212053869975
1600-2000,Hungarian Opening,63059,0.03243875839789294
1600-2000,Indian Game,65805,0.03385135343683447
1600-2000,Italian Game,105536,0.054289741452925505
1600-2000,King's Pawn Game,83470,0.04293856806280029
1600-2000,Modern Defense,87550,0.045037398273609267
1600-2000,Queen's Gambit Declined,71814,0.03694249822525387
1600-2000,Queen's Pawn Game,165648,0.08521250655884441
1600-2000,Ruy Lopez,83870,0.04314433573052666
1600-2000,Scandinavian Defense,156746,0.08063314711359404
1600-2000,Sicilian Defense,443715,0.22825550171301584
1600-2000,Van't Kruijs Opening,67729,0.03484109591859831
1600-2000,Zukertort Opening,70975,0.036510900542197806
2000+,Caro-Kann Defense,44714,0.08822165706134319
2000+,English Opening,41734,0.08234205474343823
2000+,French Defense,61463,0.12126778431724598
2000+,Hungarian Opening,19682,0.038832997590941463
2000+,Indian Game,23523,0.04641137091412032
2000+,Italian Game,15229,0.030047135469588843
2000+,King's Pawn Game,4672,0.009217953701091278
2000+,Modern Defense,26580,0.052442895842253034
2000+,Queen's Gambit Declined,18988,0.037463721077979704
2000+,Queen's Pawn Game,32941,0.06499328186379448
2000+,Ruy Lopez,17099,0.03373668457511981
2000+,Scandinavian Defense,30616,0.06040600824328137
2000+,Sicilian Defense,128750,0.25402644242626327
2000+,Van't Kruijs Opening,11270,0.022235945678788248
2000+,Zukertort Opening,29576,0.05835406649475078
