RatingBand,Outcome,Share
<1200,Checkmate,0.3501774547912794
<1200,Time forfeit,0.32144667906033464
<1200,Resignation,0.29829305391245564
<1200,Draw,0.03008281223593037
1200-1600,Resignation,0.35489843633857254
1200-1600,Checkmate,0.3178273620477613
1200-1600,Time forfeit,0.30107577743840636
1200-1600,Draw,0.026198424175259822
1600-2000,Resignation,0.3944592743668956
1600-2000,Time forfeit,0.32556512002239485
1600-2000,Checkmate,0.25115223498595324
1600-2000,Draw,0.028823370624756307
2000+,Resignation,0.40991271013028724
2000+,Time forfeit,0.3471132178102417
2000+,Checkmate,0.20274820628383453
2000+,Draw,0.04022586577563654
